CUSTOMERNAME,SALES,QUANTITYORDERED,Contact Name,PHONE,Address1,COUNTRY
Eva,1654,27,Jack Brown,286-279-3514,Street D,India
Charlie,1293,44,Charlie Brown,265-343-2915,Street L,Germany
Jack,914,32,Bob Patel,142-424-3072,Street C,Germany
Grace,2877,9,Helen Patel,551-366-7056,Street G,Germany
Helen,3646,41,Charlie Patel,288-310-1568,Street J,Japan
Bob,3925,20,Charlie Johnson,781-424-6633,Street F,Germany
Helen,2533,16,David Lee,251-481-8347,Street F,Japan
Frank,1808,17,David Lee,652-266-9743,Street X,Japan
Grace,3182,43,Charlie Brown,408-224-1408,Street Q,Australia
Frank,3061,10,Alice Patel,514-611-3381,Street I,Canada
Frank,2055,46,Grace Smith,569-427-3556,Street S,Australia
Bob,1805,28,Bob Patel,104-856-9948,Street V,Germany
Charlie,4581,25,Grace Brown,619-439-5842,Street S,India
Frank,4716,5,David Lee,585-396-3409,Street G,India
Grace,4324,29,Charlie Johnson,918-678-8243,Street S,Germany
Helen,4585,39,Jack Patel,446-805-2840,Street A,Japan
Eva,3027,31,Eva Lee,849-590-1656,Street Q,Japan
Grace,4574,38,Frank Brown,242-794-2914,Street Y,USA
Ivy,689,26,Bob Brown,415-125-7580,Street S,Australia
Alice,1237,35,Bob Lee,732-961-4610,Street F,UK
Helen,3721,33,Grace Lee,556-465-2515,Street N,UK
Bob,4640,45,Ivy Patel,434-156-4197,Street C,France
Frank,4245,27,Grace Smith,697-639-4639,Street H,USA
Eva,2472,35,Ivy Patel,900-885-5553,Street Y,Japan
Frank,2262,3,Frank Johnson,300-123-2369,Street P,Australia
Bob,3390,24,Eva Lee,651-969-8298,Street V,Australia
Grace,898,45,Ivy Johnson,793-787-2431,Street D,Germany
Ivy,914,35,Helen Johnson,624-503-4185,Street K,India
Alice,2804,39,Alice Smith,602-425-9381,Street A,India
Ivy,4554,41,Jack Patel,157-782-6915,Street J,India
Helen,4355,6,Jack Brown,507-251-8006,Street V,France
Grace,2840,7,Ivy Johnson,478-495-7108,Street V,Australia
Alice,4896,50,Grace Johnson,112-391-6651,Street D,USA
David,566,16,Bob Johnson,459-415-8300,Street M,USA
Ivy,1380,43,Grace Johnson,995-674-2435,Street L,UK
Frank,4030,43,Charlie Brown,320-845-8278,Street S,UK
Jack,1597,23,Charlie Patel,859-525-8249,Street D,Australia
Helen,2666,11,Jack Smith,395-267-7944,Street K,India
Helen,3496,42,Jack Johnson,846-524-3286,Street E,India
Alice,3803,40,Jack Lee,955-701-2410,Street A,Germany
David,3497,3,Bob Brown,247-312-5968,Street C,India
Eva,870,37,Bob Smith,586-988-9606,Street O,Canada
Ivy,3781,42,Jack Lee,443-167-7156,Street W,India
Charlie,919,44,Bob Lee,190-106-7708,Street V,Germany
Eva,2094,42,Eva Lee,754-379-7791,Street P,Japan
Helen,3469,26,Ivy Johnson,279-669-8571,Street O,Canada
Helen,2864,49,Frank Patel,827-681-3243,Street U,Australia
Bob,1102,22,Grace Johnson,304-290-7254,Street I,Japan
Alice,3664,28,Eva Lee,396-667-9037,Street T,France
Jack,4630,7,Grace Smith,143-942-5947,Street V,Canada
David,4189,1,Helen Johnson,954-699-5979,Street A,UK
Charlie,2791,7,Jack Smith,605-672-8593,Street K,Canada
Eva,1473,17,Jack Johnson,329-127-1040,Street B,UK
Ivy,1554,15,Helen Patel,257-368-5917,Street U,USA
Alice,1292,33,Alice Patel,755-954-8742,Street T,Japan
Ivy,3726,48,Charlie Johnson,227-769-5713,Street O,USA
Grace,3557,34,Eva Johnson,527-283-9059,Street K,UK
Bob,3277,36,Grace Patel,804-760-5009,Street X,Germany
David,3495,38,Charlie Smith,129-222-5541,Street X,Canada
Bob,1681,45,Jack Patel,604-168-6927,Street Z,India
Helen,2130,37,Jack Johnson,695-592-8144,Street S,France
Bob,4670,15,Grace Smith,989-364-8799,Street E,Germany
Charlie,3788,29,Alice Johnson,810-937-2959,Street G,Germany
Helen,4596,24,Grace Brown,482-624-1287,Street B,France
Eva,829,26,Frank Johnson,965-365-3668,Street Z,Canada
Ivy,871,30,David Patel,695-159-3394,Street U,Japan
Eva,818,50,Alice Lee,427-572-3219,Street J,USA
Grace,1622,44,Helen Patel,465-267-1866,Street K,Australia
Helen,3228,38,Eva Patel,379-469-7873,Street Z,USA
Helen,4380,45,Frank Smith,751-464-1798,Street B,UK
David,4754,33,Alice Brown,396-398-9677,Street X,Australia
Helen,4243,10,Frank Smith,754-178-9419,Street C,India
Ivy,1720,23,Eva Johnson,298-884-4002,Street R,India
Charlie,4723,2,Eva Lee,883-196-3738,Street T,UK
Grace,1645,31,Eva Patel,656-430-6180,Street M,Canada
David,3186,7,Helen Lee,946-965-5932,Street C,UK
Jack,3109,19,Bob Lee,377-801-6939,Street M,India
Ivy,1831,27,David Johnson,198-647-6761,Street I,Japan
Charlie,3719,6,Charlie Johnson,943-247-1211,Street F,Canada
Bob,2951,8,Eva Lee,240-630-5610,Street H,India
Eva,3255,47,Helen Patel,481-897-8944,Street Y,Germany
Grace,4655,10,Frank Johnson,521-448-3671,Street M,UK
Frank,4675,23,Eva Patel,204-323-3532,Street C,Germany
Ivy,4860,20,Grace Johnson,615-326-4087,Street A,France
Eva,4512,22,Jack Patel,914-672-9612,Street G,India
Alice,2955,30,Bob Patel,966-644-2867,Street F,Japan
